task_id,answer
k10171,A
k10182,A
k10184,A
k10206,A
k10215,A
k10231,A
k10234,A
k10238,C
k10248,A
k10249,A
k10254,A
k10264,A
k10267,A
k10272,A
k10278,A
k10281,A
k10291,A
k10296,A
k10312,A
k10317,A
k10323,A
k10325,A
k10336,A
k10345,A
k10360,A
k10361,A
k10375,B
k10377,A
k10380,A
k10385,A
k10394,A
k10400,A
k10404,A
k10408,A
k10412,A
k10423,A
k10424,A
k10441,A
k10444,A
k10463,B
k10466,A
k10467,A
k10476,A
k10478,A
k10480,A
k10488,A
k10490,A
k10505,A
k10532,A
k10533,A
k10541,A
k10546,A
k10549,A
k10553,A
k10559,A
k10571,A
k10575,A
k10579,A
k10583,A
k10584,A
k10591,A
k10599,A
k10601,A
k10602,A
k10608,A
k10618,A
k10625,A
k10631,A
k10632,A
k10634,A
k10639,A
k10648,A
k10658,A
k10659,A
k10663,A
k10666,A
k10674,A
k10676,A
k10684,A
k10691,A
k10707,A
k10713,C
k10714,A
k10721,C
k10723,A
k10730,A
k10745,A
k10747,A
k10753,A
k10756,A
k10758,C
k10768,A
k10780,A
k10797,A
k10801,A
k10807,C
k10820,A
k10821,A
k10822,A
k10825,A
k10834,A
k10835,A
k10839,B
k10855,A
k10867,A
k10869,A
k10874,A
k10876,A
k10881,A
k10883,A
k10886,A
k10907,A
k10910,A
k10923,A
k10930,A
k10940,A
k10943,A
k10948,A
k10950,A
k10959,A
k10966,A
k10972,A
k10973,A
k10982,A
k10989,A
k10993,A
k10994,A
k11001,A
k11017,A
k11019,A
k11023,B
k11025,B
k11027,A
k11032,A
k11033,A
k11035,A
k11041,B
k11044,A
k11047,A
k11065,A
k11067,A
k11075,A
k11078,A
k11079,A
k11081,A
k11083,A
k11093,A
k11104,A
k11111,A
k11123,A
k11131,A
k11132,A
k11134,A
k11136,A
k11157,A
k11159,A
k11161,A
k11169,A
k11170,A
k11174,A
k11176,A
k11184,A
k11187,A
k11207,A
k11210,A
k11212,A
k11213,A
k11214,A
k11221,A
k11231,A
k11241,A
k11245,A
k11247,A
k11255,A
k11257,A
k11259,A
k11263,A
k11264,A
k11267,A
k11271,A
k11281,A
k11299,A
k11303,B
k11307,A
k11309,A
k11314,A
k11326,B
k11329,A
k11332,A
k11334,A
k11344,A
k11352,A
k11360,A
k11361,A
k11366,A
k11367,A
k11368,A
k11369,A
k11372,A
k11381,A
k11399,A
k11405,A
k11406,A
k11417,B
k11419,A
k11428,A
k11439,A
k11465,A
k11466,A
k11470,A
k11478,A
k11483,A
k11484,A
k11490,A
k11494,A
k11495,A
k11497,A
k11502,C
k11507,A
k11531,A
k11536,A
k11537,A
rt00249,A
rt00262,A
rt00268,A
rt00282,A
rt00304,A
rt00337,A
rt00366,A
rt00384,B
rt00388,A
rt00399,A
rt00404,A
rt00425,A
rt00439,A
rt00445,A
rt00486,A
rt00487,B
rt00498,A
rt00512,A
rt00515,A
rt00520,A
rt00522,A
rt00533,A
rt00538,A
rt00540,A
rt00559,A
rt00563,A
rt00574,A
rt00575,A
rt00576,A
rt00594,A
rt00597,A
rt00604,A
rt00610,A
rt00628,A
rt00635,A
rt00637,A
rt00644,A
rt00649,A
rt00662,A
rt00683,A
rt00703,A
rt00704,A
rt00707,A
rt00738,A
rt00749,A
rt00778,A
rt00790,B
rt00791,A
rt00799,A
rt00804,A
rt00807,A
rt00819,B
rt00820,A
rt00833,A
rt00841,B
rt00847,A
rt00866,A
rt00868,A
rt00869,A
rt00871,A
rt00879,A
rt00882,A
rt00885,A
rt00887,A
rt00898,A
rt00901,A
rt00917,A
rt00925,B
rt00926,A
rt00938,A
rt00950,A
rt00953,A
rt00970,A
rt00978,A
rt00983,A
rt00984,A
rt00990,A
rt00991,A
rt00998,A
rt01008,A
rt01026,A
rt01032,A
rt01037,A
rt01040,A
rt01043,A
rt01050,A
rt01055,A
rt01057,A
rt01084,A
rt01086,A
rt01087,A
rt01091,A
rt01101,A
rt01109,A
rt01134,A
rt01153,A
rt01160,A
rt01164,A
rt01174,A
rt01176,A
rt01189,A
rt01207,A
rt01209,B
rt01219,A
rt01224,A
rt01225,A
rt01235,B
rt01237,A
rt01246,A
rt01258,A
rt01267,A
rt01270,A
rt01285,A
rt01288,A
rt01309,A
rt01314,A
rt01327,A
rt01334,B
rt01340,A
rt01350,A
rt01364,A
rt01370,A
rt01378,A
rt01393,A
rt01398,A
rt01404,A
rt01405,A
rt01415,B
rt01430,A
rt01451,A
rt01454,A
rt01466,A
rt01468,A
rt01473,A
rt01483,A
rt01493,A
rt01497,C
rt01527,A
rt01530,A
rt01552,B
rt01562,A
rt01568,A
rt01576,A
rt01584,A
rt01587,A
rt01611,A
rt01614,C
rt01616,A
rt01639,A
rt01644,A
rt01694,B
rt01698,A
rt01699,A
rt01704,A
rt01715,A
rt01724,C
rt01737,B
rt01739,A
rt01757,A
rt01779,A
rt01791,A
rt01801,A
rt01807,A
rt01816,A
rt01842,A
rt01850,A
rt01873,A
rt01874,A
rt01879,A
rt01881,A
rt01900,A
rt01912,A
rt01923,C
rt01929,D
rt01940,A
rt01942,B
rt01954,A
rt01962,A
rt01973,A
rt01980,B
rt01983,B
rt01989,A
rt02012,A
rt02013,A
rt02034,A
rt02035,A
rt02057,A
rt02059,A
rt02073,A
rt02087,A
rt02092,A
rt02095,A
rt02096,A
rt02102,A
rt02131,A
rt02133,A
rt02163,A
rt02168,A
rt02208,B
rt02215,A
rt02228,B
rt02230,A
rt02231,B
rt02233,A
rt02240,A
rt02257,B
rt02269,A
rt02277,A
rt02288,A
rt02297,A
rt02302,A
rt02304,A
rt02309,B
rt02312,A
rt02328,A
rt02334,B
rt02342,A
rt02343,A
rt02344,A
rt02359,A
rt02362,A
rt02363,A
rt02459,A
rt02467,A
rt02478,A
rt02480,A
rt02503,B
rt02521,C
rt02539,B
rt02554,A
rt02711,A
rt02753,A
rt02800,A
rt02813,A
rt02826,A
rt02840,A
rt02859,C
rt02861,A
rt02876,A
rt02877,A
rt02881,A
rt02889,C
rt02896,A
rt02903,A
rt02944,A
rt02945,A
rt02948,A
rt03017,A
rt03041,A
rt03054,A
rt03099,A
rt03103,A
rt03117,A
rt03234,A
rt03249,A
rt03260,A
rt03274,A
rt03285,A
rt03294,A
rt03296,A
rt03312,A
rt03378,A
rt03412,A
rt03433,A
rt03434,A
rt03459,A
rt03479,A
rt03483,A
rt03485,A
rt03546,A
rt03568,A
rt03589,A
rt03596,A
rt03622,A
rt03636,A
rt03673,A
rt03679,B
rt03701,A
rt03746,A
rt03750,A
rt03794,A
rt03803,A
rt03849,A
rt03861,A
rt03897,A
rt03911,A
rt03919,A
rt03958,A
rt03960,A
rt03961,A
rt03969,B
rt03985,A
rt04006,A
rt04053,A
rt04066,A
rt04067,A
rt04116,A
rt04123,A
rt04160,B
rt04163,A
rt04196,A
rt04200,A
rt04233,C
rt04237,A
rt04257,A
rt04284,A
rt04321,A
rt04336,A
rt04363,A
